held_out_university,target_kind,pctl,model,frac,aug_rows,n,n_pos,base_rate,prec_top5,prec_top10,recall_top10,lift_top5,lift_top10,capture_top10,pr_auc,roc_auc,brier,layer,target,n_train,train_base_rate,lift_top10_ci_lo,lift_top10_ci_hi
4,severity_labour,75,gbdt,0.0,0,20541,2791,0.13587459227885693,0.9202334630350194,0.7951338199513382,0.5854532425653888,6.772667704837811,5.851968396854331,0.5854532425653888,0.7721805515690614,0.9359097198742437,0.1357263495784133,M1,severity_labour,488118,0.06569518026378868,5.240744254315487,6.455944111954024
4,severity_labour,75,gbdt,0.05,1801,20541,2789,0.13577722603573342,0.9221789883268483,0.7931873479318735,0.5844388669774112,6.791853208756469,5.841829083495379,0.5844388669774112,0.7740280724789151,0.9365724965506187,0.1377212160433182,M1,severity_labour,489919,0.06610480508002343,5.255588013182461,6.409332481010129
4,severity_labour,75,gbdt,0.1,2804,20541,2790,0.13582590915729517,0.9250972762645915,0.7917274939172749,0.5831541218637993,6.810904355466299,5.828987258980195,0.5831541218637993,0.7763410899947055,0.9366996942370251,0.13719246052313522,M1,severity_labour,490922,0.06641584610182473,5.279602991009083,6.425831188427227
4,severity_labour,75,gbdt,0.2,5092,20541,2768,0.13475488048293657,0.9289883268482491,0.7912408759124088,0.5874277456647399,6.893912291109062,5.871704780389013,0.5874277456647399,0.7797893862421362,0.9378951872669102,0.13667930804997022,M1,severity_labour,493210,0.06689645384319053,5.282441974532833,6.484048441409021
4,severity_labour,75,logreg,0.0,0,20541,2791,0.13587459227885693,0.7821011673151751,0.7172749391727494,0.528126119670369,5.756051622293447,5.278948235595645,0.528126119670369,0.6502599806074559,0.9031478948935462,0.23860101825467606,M1,severity_labour,488118,0.06569518026378868,4.72165903911698,5.878993356897219
4,severity_labour,75,logreg,0.05,1801,20541,2789,0.13577722603573342,0.7830739299610895,0.7172749391727494,0.5285048404446038,5.7673437057478445,5.282733784706864,0.5285048404446038,0.651648282826025,0.9034100016465252,0.2390520494354285,M1,severity_labour,489919,0.06610480508002343,4.743863546445999,5.890584999154863
4,severity_labour,75,logreg,0.1,2804,20541,2790,0.13582590915729517,0.7830739299610895,0.716301703163017,0.5275985663082438,5.765276557466215,5.273675012427073,0.5275985663082438,0.6507207948092892,0.9033198190257946,0.23957250572306818,M1,severity_labour,490922,0.06641584610182473,4.740068773038134,5.875081275468478
4,severity_labour,75,logreg,0.2,5092,20541,2768,0.13475488048293657,0.7811284046692607,0.7143552311435523,0.5303468208092486,5.796661329592227,5.3011455212860215,0.5303468208092486,0.6492019944452897,0.9043625877272436,0.23687661496238868,M1,severity_labour,493210,0.06689645384319053,4.753570411339847,5.9226130944233635
4,occurrence,75,gbdt,0.0,0,20541,10996,0.535319604693053,1.0,0.9995133819951338,0.1867951982539105,1.8680429246998906,1.867133901378869,0.1867951982539105,0.9322987352843849,0.914306511954154,0.12249808802119581,M1,occurrence,488118,0.27577962705739184,1.7670172826224804,1.9945388004676388
4,occurrence,75,gbdt,0.05,1801,20541,10996,0.535319604693053,1.0,0.9995133819951338,0.1867951982539105,1.8680429246998906,1.867133901378869,0.1867951982539105,0.9323096610111719,0.9144073296046887,0.12358598175189558,M1,occurrence,489919,0.27698252160050946,1.7670172826224804,1.9944213367060046
4,occurrence,75,gbdt,0.1,2804,20541,10996,0.535319604693053,1.0,0.9995133819951338,0.1867951982539105,1.8680429246998906,1.867133901378869,0.1867951982539105,0.9326596787173617,0.9147480030359152,0.12383179833239065,M1,occurrence,490922,0.277657143089941,1.7670172826224804,1.9947605848366072
4,occurrence,75,gbdt,0.2,5092,20541,10996,0.535319604693053,1.0,1.0,0.18688614041469626,1.8680429246998906,1.8680429246998906,0.18688614041469626,0.9327191431317484,0.9147944935831707,0.12460768716984146,M1,occurrence,493210,0.27902516169582936,1.7670172826224804,1.9949364463577155
4,occurrence,75,logreg,0.0,0,20541,10996,0.535319604693053,1.0,0.9995133819951338,0.1867951982539105,1.8680429246998906,1.867133901378869,0.1867951982539105,0.9267976238752474,0.9049449287811883,0.128017893623834,M1,occurrence,488118,0.27577962705739184,1.7670172826224804,1.9949364463577155
4,occurrence,75,logreg,0.05,1801,20541,10996,0.535319604693053,1.0,0.9995133819951338,0.1867951982539105,1.8680429246998906,1.867133901378869,0.1867951982539105,0.9268536009856096,0.9050375668775026,0.12831509767890087,M1,occurrence,489919,0.27698252160050946,1.7670172826224804,1.9949364463577155
4,occurrence,75,logreg,0.1,2804,20541,10996,0.535319604693053,1.0,0.9995133819951338,0.1867951982539105,1.8680429246998906,1.867133901378869,0.1867951982539105,0.9269411396338021,0.9052171550167011,0.12823384234787755,M1,occurrence,490922,0.277657143089941,1.7670172826224804,1.9949364463577155
4,occurrence,75,logreg,0.2,5092,20541,10996,0.535319604693053,1.0,0.9995133819951338,0.1867951982539105,1.8680429246998906,1.867133901378869,0.1867951982539105,0.9269798618037477,0.9052448997597298,0.12832115285896165,M1,occurrence,493210,0.27902516169582936,1.7670172826224804,1.9949364463577155
5,severity_labour,75,gbdt,0.0,0,129370,7257,0.05609492154286156,0.54614314422631,0.3626033856380923,0.6464103624087089,9.736053268369536,6.464103624087088,0.6464103624087089,0.5259797436539241,0.897120234534155,0.05209359555545999,M1,severity_labour,351542,0.07074830318994602,6.202051440107087,6.710749964503833
5,severity_labour,75,gbdt,0.05,8651,129370,7328,0.05664373502357579,0.5639202349667646,0.3706423436654557,0.6543395196506551,9.955562335923899,6.543395196506551,0.6543395196506551,0.5401210104954097,0.8945675508910993,0.05247857456532614,M1,severity_labour,360193,0.07170877834938491,6.305215791111862,6.760010801564055
