SystemCode,DescriptiveCode,ComponentDescription,n_upm,n_ppm,upm_lab_median,ppm_lab_median,upm_lab_mean,ppm_lab_mean,lab_premium_median,lab_premium_mean,upm_cost_mean,ppm_cost_mean,cost_premium_mean
D30,D3020VND,"Valve, Non-Drain",5914,780,2.0,2.0,4.913057152519445,7.355615384615385,1.0,0.667932850702789,151.71167148899534,661.4032119013071,0.2293784922103362
D50,D5010MOS,Motor Starter,734,184,3.0,3.0,5.0551089918256125,7.663804347826086,1.0,0.6596083044916907,691.5005496654113,726.5449010181826,0.9517657459247735
D50,D5020WDS,"Wiring Device, Switch",8698,2782,1.5,2.0,3.072135356787001,4.679295470884256,0.75,0.6565380143020662,166.82237742218487,318.79528774943714,0.5232899726965284
D20,D2010SNK,Sink,70346,10102,1.0,1.5,1.86571167277931,2.85291757407774,0.6666666666666666,0.6539662027853843,80.86909090765614,232.3388065087689,0.3480653624886551
B20,B2030MWM,Metal Wire Mesh Door,442,587,1.0,1.5,1.6212217194570133,2.5090630323679726,0.6666666666666666,0.6461462699591715,96.66145740298403,168.1713936502043,0.5747794277309696
D30,D3030PAF,Pipe & Fittings,4670,6550,1.5,2.0,4.997861570306924,7.82636437659033,0.75,0.6385930081732681,144.71659081911355,292.80357427020687,0.49424461835826244
B10,B1010CDK,Concrete Decking,271,214,2.0,3.5,3.4981549815498156,5.537149532710281,0.5714285714285714,0.6317609739243517,3.9302485252353354,206.46705414462758,0.019035717545920164
D50,D5030MGL,Magnetic Lock,311,420,1.25,1.0,2.112218649517685,3.3908333333333336,1.25,0.6229202210423254,131.6117291921781,287.6311503393548,0.45757119504232807
D50,D5020GFC,Grounded Fault Circuit Interruptor,729,502,1.5,2.0,2.8558847736625514,4.625,0.75,0.6174885997108219,57.61500871987595,324.12406790004246,0.17775603364833742
F10,F1020INC,General Integrated Construction,1809,523,1.5,1.5,3.420084761378294,5.5815487571701725,1.0,0.612748344621156,0.2836067550636772,219.23247983177015,0.0012936347537614188
F10,F1040VLV,"Valve, Isolation/Solenoid",267,603,1.0,2.0,3.0818352059925096,5.031940298507463,0.5,0.6124546443658365,167.00537604079528,225.6079123227739,0.7402460947462834
D50,D5030REA,"Card Reader, Keypad",7851,2803,1.0,1.0,1.826973633931983,2.99174502318944,1.0,0.6106715711970276,112.22446815016352,248.34621666357074,0.4518871664640319
