A,B,elig,cooc,P_B_given_A,baseline_B,risk_ratio,A_desc,B_desc
D20,D90,2915,0,0.0,0.0,,Plumbing,General
D20,G10,81,0,0.0,0.0,,Plumbing,Site Preparation
D30,D90,2418,0,0.0,0.0,,HVAC,General
D30,G10,68,0,0.0,0.0,,HVAC,Site Preparation
D40,D90,1080,0,0.0,0.0,,Fire Protection,General
D50,D90,3102,0,0.0,0.0,,Electrical,General
D50,G10,71,0,0.0,0.0,,Electrical,Site Preparation
E10,D90,1336,0,0.0,0.0,,Equipment,General
E20,D90,582,0,0.0,0.0,,Furnishings,General
F10,D90,106,0,0.0,0.0,,Special Construction,General
G20,D90,219,0,0.0,0.0,,Site Improvements,General
